id,nombre,población,ubigeo
1,Amarilis,62418,100102
2,Ambo,14626,100201
3,Aparicio Pomares,5278,101104
4,Arancay,1453,100502
5,Baños,6058,101002
6,Cahuac,4309,101102
7,Canchabamba,3513,100402
8,Castillo Grande,15597,100608
9,Cayna,2530,100202
10,Chacabamba,3372,101103
11,Chaglla,11013,100802
12,Chavinillo,6198,101101
13,Chavín de Pariarca,4253,100503
14,Chinchao,16191,100103
15,Cholón,9191,100702
16,Choras,3730,101108
17,Chuquis,7626,100307
18,Churubamba,29163,100104
19,Cochabamba,3025,100403
20,Codo del Pozuzo,4254,100902
21,Colpas,1930,100203
22,Conchamarca,8030,100204
23,Daniel Alomía Robles,6675,100602
24,Hermilio Valdizán,2627,100603
25,Honoria,4674,100903
26,Huacar,7157,100205
27,Huacaybamba,6457,100401
28,Huacrachuco,16212,100701
29,Huánuco,84947,100101
30,Jacas Chico,2669,101105
31,Jacas Grande,4227,100504
32,Jesús,6998,101001
33,Jircan,3289,100505
34,Jivia,2821,101003
35,José Crespo y Castillo,20091,100604
36,La Morada,3482,100704
37,La Unión,7460,100301
38,Llata,14736,100501
39,Luyando,8894,100605
40,Margos,10743,100105
41,Mariano Dámaso Beraún,7600,100606
42,Marías,7094,100311
43,Miraflores,2529,100506
44,Molino,18315,100803
45,Monzón,29800,100507
46,Obas,4723,101106
47,Pachas,10331,100313
48,Pampamarca,3651,101107
49,Panao,21837,100801
50,Pillco Marca,30600,100111
51,Pinra,8037,100404
52,Pucayacu,5217,100607
53,Pueblo Nuevo,6002,100609
54,Puerto Inca,5825,100901
55,Punchao,2319,100508
56,Puños,5751,100509
57,Queropalca,2730,101004
58,Quisqui,6297,100106
59,Quivilla,3575,100316
60,Ripán,6329,100317
61,Rondos,5087,101005
62,Rupa-Rupa,44621,100601
63,San Buenaventura,2437,100703
64,San Francisco,2928,100206
65,San Francisco de Asís,1512,101006
66,San Francisco de Cayrán,7116,100107
67,San Miguel de Cauri,7089,101007
68,San Pablo de Pillao,9680,100113
69,San Pedro de Chaulán,7865,100108
70,San Rafael,11018,100207
71,Santa María del Valle,21082,100109
72,Santa Rosa de Alto Yanajanca,1126,100705
73,Santo Domingo de Anda,3038,100610
74,Shunqui,2320,100321
75,Sillapata,3041,100322
76,Singa,3175,100510
77,Tantamayo,2635,100511
78,Tomay Kichwa,2924,100208
79,Tournavista,3221,100904
80,Umari,12125,100804
81,Yacus,3971,100112
82,Yanas,1854,100323
83,Yarumayo,2165,100110
84,Yuyapichis,4347,100905
